,Brand,no_of_rear_camera,rear_camera_1_pixels,rear_camera_2_pixels,rear_camera_3_pixels,rear_camera_4_pixels,rear_camera_5_pixels,no_of_front_camera,front_camera_1_pixels,front_camera_2_pixels,Release_year,Screen-size,operationg_system,Internal_storage(GB),WiFi,Bluetooth,Battery(mah),RAM,Touchscreen,Form-factor,Processor,GPS,Resolution,Accelerometer,Proximity_sensor,Ambient_light_sensor,Expandable_storage,Rear_flash,Proceesor_make,Height,Breadth,Width,Price_in_India,Weight,Compass/magnetometer,Headphones,Gyroscope,Expandable_storage_type,4G_or_3G,Simtype,GSM/CDMA,Expandable_storage(GB)
38,Realme,2,16.0,2.0,,,,1,16.0,,2018.0,6.3,Android,64.0,Yes,Yes,3500.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.7,74.0,8.5,16990.0,174.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
39,Apple,1,12.0,,,,,1,7.0,,2020.0,4.7,iOS,64.0,Yes,Yes,,,Yes,Touchscreen,,Yes,750.0,Yes,Yes,Yes,No,LED,Apple A13,138.4,67.3,7.3,32990.0,148.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
40,Apple,1,12.0,,,,,1,7.0,,2020.0,4.7,iOS,64.0,Yes,Yes,,,Yes,Touchscreen,,Yes,750.0,Yes,Yes,Yes,No,LED,Apple A13,138.4,67.3,7.3,28990.0,148.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
41,Vivo,1,13.0,,,,,1,20.0,,2016.0,5.5,Android,32.0,Yes,Yes,3000.0,4096.0,Yes,Touchscreen,octa-core,Yes,720.0,Yes,Yes,Yes,Yes,LED,MediaTek,153.8,75.5,7.55,20000.0,154.0,Yes,Yes,No,microSD,4G,Micro-SIM,GSM,128.0
42,Apple,1,12.0,,,,,1,7.0,,2020.0,4.7,iOS,64.0,Yes,Yes,,,Yes,Touchscreen,,Yes,750.0,Yes,Yes,Yes,No,LED,Apple A13,138.4,67.3,7.3,28990.0,148.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
43,Realme,2,16.0,2.0,,,,1,16.0,,2018.0,6.3,Android,64.0,Yes,Yes,3500.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.7,74.0,8.5,8999.0,174.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
44,Apple,1,12.0,,,,,1,7.0,,2020.0,4.7,iOS,64.0,Yes,Yes,,,Yes,Touchscreen,,Yes,750.0,Yes,Yes,Yes,No,LED,Apple A13,138.4,67.3,7.3,32999.0,148.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
45,Realme,2,16.0,2.0,,,,1,16.0,,2018.0,6.3,Android,64.0,Yes,Yes,3500.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.7,74.0,8.5,15800.0,174.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
46,Apple,1,12.0,,,,,1,7.0,,2020.0,4.7,iOS,64.0,Yes,Yes,,,Yes,Touchscreen,,Yes,750.0,Yes,Yes,Yes,No,LED,Apple A13,138.4,67.3,7.3,40990.0,148.0,Yes,Yes,Yes,,4G,Nano-SIM,GSM,
47,Realme,2,16.0,5.0,,,,1,25.0,,2019.0,6.3,Android,64.0,Yes,Yes,4045.0,4096.0,Yes,Touchscreen,octa-core,Yes,1080.0,Yes,Yes,Yes,Yes,Yes,Qualcomm Snapdragon,156.8,74.2,8.3,15999.0,172.0,Yes,Yes,Yes,microSD,4G,Nano-SIM,GSM,256.0
